Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
49,John McGinn,Aston Villa,30,M(CLR),35,3010,6,4,9,1,1.1,82.7,0.3,3,6.98,1.1,1.7,0.6,-,1.3,0.5,0.1,0.1,2,1.3,0.1,1.6,1.7,0.7,32.6,2.1,0.2,40.0,0.11,4.33,1.67,0.13
50,Dwight McNeil,Everton,25,M(CLR),33(2),2900,3,6,2,-,1.6,78.3,0.5,3,6.97,0.5,1.3,0.6,-,0.9,0.8,0.2,-,0.9,2,0.1,1.9,1.7,1.9,28.6,1.3,0.2,57.0,0.07,4.06,-1.06,0.13
51,Casemiro,Man Utd,32,"D(C),DMC",24(1),1987,1,2,7,-,1.6,82.6,1.7,1,6.97,1.2,3.3,0.7,-,2.2,2.6,1.3,-,0.4,0.6,0.2,0.6,0.7,0.1,56.2,3.2,-,39.0,0.09,3.64,-2.64,0.16
52,Leon Bailey,Aston Villa,27,"M(CLR),FW",22(13),2080,10,9,5,-,1.5,78.2,0.4,3,6.96,0.7,0.4,0.3,-,0.4,0.1,-,-,0.7,1.5,0.3,1.5,1.2,0.5,20.0,0.8,0.1,53.0,0.12,6.45,3.55,0.28
53,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",31(5),2767,8,3,7,-,1.6,81.9,0.2,3,6.96,1.5,1.7,0.5,-,1.2,-,-,-,0.8,1.8,0.3,2.4,1.8,0.6,31.4,0.4,0.1,57.0,0.09,5.03,2.97,0.16
54,Alphonse Areola,West Ham,31,GK,31,2702,-,-,1,-,-,59.3,0.4,4,6.96,0.1,-,-,1,0.1,0.9,-,-,0.1,-,-,-,-,-,23.2,5.9,-,,,,,
55,Diogo Dalot,Man Utd,25,"D(LR),M(LR)",35(1),3174,2,3,4,1,0.8,83.8,0.9,1,6.96,1.3,2.3,1,-,0.6,2.7,0.4,0.2,0.4,1.1,0.1,0.7,0.3,0.7,41.4,2.1,-,30.0,0.05,1.53,0.47,0.04
56,Douglas Luiz,Aston Villa,26,M(C),35,3003,9,5,12,-,1.4,89.4,0.7,3,6.95,1.5,1.7,0.7,-,0.8,0.5,0.2,0.1,1.2,1.5,-,0.9,0.9,0.9,56.4,2.8,0.2,48.0,0.15,7.36,1.64,0.22
57,Willy-Arnaud Boly,Nottingham Forest,33,D(C),18(2),1443,2,1,1,1,0.7,77.1,2.9,1,6.94,1,2.3,1.3,-,0.9,4.3,1.1,0.4,0.1,0.5,0.1,0.2,0.2,-,30.6,1.6,0.1,14.0,0.13,1.79,0.21,0.11
58,Dan Burn,Newcastle,32,"D(CL),M(L)",32(1),2733,2,2,4,-,0.7,81.1,3.1,1,6.94,1,1.8,1.1,-,1.1,3.6,0.8,0.3,0.3,0.3,0.1,0.5,0.3,0.1,45.5,0.8,-,23.0,0.17,3.85,-1.85,0.13
59,João Pedro,Brighton,23,"AM(CL),FW",19(12),2046,9,3,2,-,2.4,82.7,1.3,3,6.93,0.6,1,0.4,-,0.3,0.8,0.1,0.1,1.9,1.2,0.4,2.7,2,0.3,25.0,0.5,0.1,75.0,0.16,12.32,-3.32,0.54
60,Ben White,Arsenal,27,"D(CR),DMC",35(2),2995,4,4,8,-,0.4,86.7,1,-,6.93,0.5,1.3,0.9,-,0.9,1.8,0.6,0.3,0.3,1.1,0.3,0.7,0.2,0.4,51.6,1.4,-,13.0,0.1,1.36,2.64,0.04
