Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
61,Antonee Robinson,Fulham,27,"D(L),M(L)",37,3269,-,6,0.4,0.9,1,0.5,0.1,0.4,1.3,6.92
62,Jarrad Branthwaite,Everton,22,D(C),35,3117,3,-,0.4,0.1,0.1,0.5,0.1,0.1,0.6,6.90
63,Gabriel Jesus,Arsenal,27,"AM(LR),FW",17(10),1482,4,5,2,1.1,1.3,1.2,0.6,1.4,2.3,6.89
64,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",24(11),2031,6,4,1.7,1.3,1.1,0.7,0.3,1.2,1.5,6.89
65,Ryan Christie,Bournemouth,29,"M(CLR),FW",35(2),2922,-,5,1.2,1.5,1.4,1,0.1,1.3,1.6,6.89
66,Darwin Núñez,Liverpool,25,"AM(CL),FW",22(14),2050,11,8,3,0.9,0.4,0.4,0.9,0.8,1.5,6.89
67,Tomás Soucek,West Ham,29,M(C),34(3),2876,7,2,1.2,0.5,0.1,0.6,0.3,0.3,0.5,6.88
68,Kaoru Mitoma,Brighton,27,M(L),15(4),1488,3,4,1.8,1.3,2.1,1.2,0.4,0.8,2,6.88
69,Ethan Pinnock,Brentford,31,D(C),28(1),2521,2,-,0.7,0.1,0.2,0.4,-,0.1,0.4,6.88
70,Jean-Philippe Mateta,Crystal Palace,27,FW,25(10),2285,16,5,1.3,0.9,0.7,0.6,0.7,2.2,2.5,6.88
71,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",25(8),2113,8,2,2.1,0.9,1.5,0.7,0.1,1.6,1.8,6.88
72,Joachim Andersen,Crystal Palace,28,D(C),38,3418,2,3,0.6,0.5,0.4,0.6,-,0.2,0.3,6.88
73,Yoane Wissa,Brentford,28,"AM(L),FW",29(5),2509,12,3,2,0.9,0.6,1.5,0.6,0.6,1.7,6.87
74,Cody Gakpo,Liverpool,25,"AM(CLR),FW",17(18),1646,8,5,1.9,0.7,0.9,1.1,0.2,0.9,1.3,6.87
75,Harry Maguire,Man Utd,31,D(C),18(4),1651,2,2,0.9,0.3,-,0.5,0.3,0.1,0.4,6.87
76,Marcus Tavernier,Bournemouth,25,M(CLR),25(5),2134,3,4,1.8,1.5,1.5,0.7,0.1,1.4,1.8,6.86
77,Simon Adingra,Brighton,22,"M(LR),FW",25(6),2233,6,1,1.7,1.1,1.6,0.6,0.5,0.9,1.5,6.86
78,Mario Lemina,Wolves,31,"D(C),M(C)",34(1),2976,4,1,1.4,0.6,0.7,0.7,0.2,0.6,0.9,6.85
79,Moisés Caicedo,Chelsea,23,"D(R),DMC",33(2),2875,1,3,0.4,0.7,0.7,1.4,-,0.7,1,6.85
80,William Saliba,Arsenal,23,D(C),38,3420,2,1,0.3,0.2,0.3,0.4,-,0.3,0.6,6.85
81,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,2,-,0.9,0.5,0.6,0.3,-,0.4,1.4,6.85
82,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,4,7,1.4,0.7,1.5,2.7,0.2,2.3,2.4,6.85
83,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,-,4,0.5,0.8,0.7,0.6,0.2,0.4,0.8,6.85
84,André Onana,Man Utd,28,GK,38,3420,-,-,-,0.1,-,0.1,-,-,-,6.84
85,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,5,2,1.4,0.9,1.6,0.8,0.1,0.6,1.1,6.84
86,James Garner,Everton,23,M(CR),34(3),3006,1,2,1.1,1.2,0.5,1.2,0.1,0.3,0.9,6.84
87,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,-,-,0.5,0.4,0.3,0.6,-,0.2,0.4,6.84
88,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,11,4,2.2,0.5,0.4,1.1,0.4,1.4,1.9,6.83
89,Rúben Dias,Man City,27,D(C),28(2),2558,-,-,0.7,0.2,-,0.5,-,0.2,0.3,6.83
90,Idrissa Gueye,Everton,35,M(C),24(1),1896,4,-,1,0.6,0.4,1.2,-,0.8,0.7,6.83
91,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,-,3,0.4,1.4,0.6,0.5,0.1,0.6,1.1,6.83
92,Martin Dúbravka,Newcastle,35,GK,22(1),1984,-,-,-,-,-,0.2,-,-,0.1,6.83
93,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,2,8,0.7,1.9,0.9,0.2,0.4,0.4,1.4,6.83
94,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,12,1,1.8,0.7,0.7,0.6,0.3,1.1,1.4,6.82
