Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
107,Christian Nørgaard,Brentford,30,"D(C),DMC",30(1),2513,1,0.8,46.5,81.2,0.2,1.9,0.2,6.80
108,Boubacar Kamara,Aston Villa,25,"D(CL),DMC",20,1662,1,1,51.2,89.3,-,2.1,0.1,6.79
109,Micky van de Ven,Tottenham,23,D(CL),27,2344,-,-,66,94.3,-,1.5,-,6.79
110,Hwang Hee-Chan,Wolves,28,"AM(CLR),FW",25(4),2133,3,0.6,18.3,77.7,0.1,0.3,0.1,6.79
111,Rodrigo Muniz,Fulham,23,FW,18(8),1598,1,0.7,8.4,62.1,-,0.3,-,6.79
112,Callum Hudson-Odoi,Nottingham Forest,24,M(CLR),20(9),1856,1,1.2,22.3,85.3,0.4,1.1,-,6.79
113,Dominic Calvert-Lewin,Everton,27,"AM(L),FW",26(6),2189,2,0.6,13.6,56.9,-,0.1,-,6.79
114,Manuel Akanji,Man City,29,"D(CLR),DMC",28(2),2514,-,0.4,76.5,93.8,0.1,2.7,0.1,6.78
115,Carlton Morris,Luton,29,"AM(CL),FW",32(6),2867,4,0.6,18.9,66.8,-,0.2,-,6.78
116,Emerson,West Ham,30,"D(L),M(L)",35(1),3143,2,0.7,39.8,82.9,0.3,1.2,-,6.78
117,Tyrick Mitchell,Crystal Palace,25,"D(L),M(L)",37,3209,3,0.6,32.6,74.2,0.5,0.9,-,6.78
118,Thiago Silva,Chelsea,40,D(C),28(3),2528,1,0.3,73.5,94.9,-,3.1,-,6.77
119,Alex Iwobi,Fulham,28,"D(R),M(CLR)",25(5),2205,2,1.6,32.7,81.8,0.3,1.2,0.1,6.77
120,Chiedozie Ogbene,Luton,27,"M(CLR),FW",20(10),1994,1,0.9,21,81.6,0.4,0.3,-,6.76
121,Brennan Johnson,Tottenham,23,"AM(CLR),FW",23(9),2093,10,1.4,20.1,76.2,0.5,0.2,-,6.76
122,Alejandro Garnacho,Man Utd,20,AM(CLR),30(6),2578,4,1.3,23.2,79.4,0.2,0.5,-,6.76
123,Rayan Aït-Nouri,Wolves,23,"D(L),M(L)",29(4),2347,1,0.8,31.5,86.6,0.2,0.7,-,6.76
124,Edson Álvarez,West Ham,27,"D(C),DMC",28(3),2385,1,0.4,38.5,86.1,-,1.9,0.1,6.76
125,Enzo Fernández,Chelsea,23,M(C),26(2),2215,2,1.1,64.1,86.9,0.3,4.6,0.3,6.75
126,Aaron Wan-Bissaka,Man Utd,27,"D(LR),M(R)",20(2),1782,2,0.5,37.8,82.9,0.2,0.6,-,6.75
127,Chris Wood,Nottingham Forest,33,FW,20(11),1810,1,0.7,13.9,64.5,-,0.2,-,6.75
128,Andreas Pereira,Fulham,28,M(CLR),34(3),2638,7,2.3,28.7,78.8,1.8,1.4,0.2,6.75
129,Joelinton,Newcastle,28,"AM(CLR),FW",15(5),1281,1,1.2,30.8,83.9,-,0.6,0.2,6.75
130,Guglielmo Vicario,Tottenham,28,GK,38,3420,-,-,36.1,83.7,-,2.2,-,6.75
131,Malo Gusto,Chelsea,21,"D(R),M(R)",19(8),1756,6,1.2,45.1,89.2,0.6,1.1,-,6.74
132,Callum Wilson,Newcastle,32,FW,9(11),984,1,0.4,7.9,65.2,-,0.1,-,6.74
133,Nathan Aké,Man City,29,"D(CL),DMC",24(5),2044,2,0.3,61,92.8,-,0.7,-,6.73
134,Lewis Dunk,Brighton,33,D(C),33,2873,1,0.4,97.3,92.5,-,4.5,0.1,6.73
135,Neto,Bournemouth,35,GK,32,2880,-,-,28.2,60.2,-,5.9,-,6.73
136,Pervis Estupiñán,Brighton,26,"D(L),M(L)",15(4),1248,3,1.4,43.2,88.7,0.8,0.7,0.1,6.73
137,Jan Paul van Hecke,Brighton,24,D(C),26(2),2368,-,0.4,85.7,92.5,-,3.1,-,6.72
138,Chris Richards,Crystal Palace,24,"D(C),DMC",23(3),2092,1,0.2,35.5,83.3,-,1.3,-,6.72
139,Pablo Sarabia,Wolves,32,"D(L),M(CLR),FW",20(10),1752,7,1.7,27.6,77.1,1.3,1.1,0.2,6.72
140,Willian,Fulham,36,AM(CLR),24(7),2061,2,1.4,34.2,85.5,0.7,1.9,0.1,6.72
141,Jack Grealish,Man City,29,"AM(CL),FW",10(10),1004,1,1.3,27.6,87.7,0.2,0.6,0.2,6.72
142,José Sá,Wolves,31,GK,35,3039,1,-,25.8,59.2,-,3.1,-,6.72
143,Yves Bissouma,Tottenham,28,M(C),26(2),2088,-,0.4,65.5,91.9,-,1.5,-,6.72
144,Maximilian Kilman,Wolves,27,D(C),38,3420,-,0.4,60.2,86.3,-,3.8,-,6.71
145,Mathias Jensen,Brentford,28,M(C),27(5),2220,3,1.3,30.4,78.6,1.3,2.6,0.1,6.71
146,Scott McTominay,Man Utd,28,"D(C),M(C)",18(14),1893,1,0.3,20.1,81.5,-,0.6,-,6.71
147,Destiny Udogie,Tottenham,22,"D(L),M(L)",28,2398,3,0.9,43.4,87.5,-,0.3,-,6.71
148,Amadou Onana,Everton,23,DMC,23(7),2094,-,0.6,34.1,84.9,-,2,0.1,6.71
149,Jordan Pickford,Everton,30,GK,38,3420,-,0.1,37.6,59.4,-,10.5,-,6.71
150,Emiliano Martínez,Aston Villa,32,GK,34,3016,-,0.1,37.4,81.4,-,4.8,-,6.71
151,Harvey Elliott,Liverpool,21,AM(CR),11(23),1339,6,1.1,26.6,87.7,0.6,1.2,0.1,6.70
152,Rasmus Højlund,Man Utd,21,FW,25(5),2172,2,0.9,13,77,-,0.3,-,6.70
153,Murillo,Nottingham Forest,22,D(C),32,2793,2,0.2,45.1,77.6,-,3.7,-,6.69
154,Marcus Rashford,Man Utd,27,"AM(CLR),FW",26(7),2279,2,0.8,20.7,79.2,0.1,0.8,0.1,6.69
155,Lucas Digne,Aston Villa,31,"D(CL),M(L)",27(6),2413,3,1.1,30.7,81.4,1.1,0.6,-,6.68
156,Bernd Leno,Fulham,32,GK,38,3420,-,-,37,77.2,-,4.6,-,6.68
157,Vitaly Janelt,Brentford,26,"D(L),DMC",37(1),3072,3,1,34.4,79.9,0.5,1.6,0.1,6.68
158,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",7(13),692,2,1,14.1,80.1,0.1,0.7,-,6.68
159,Sean Longstaff,Newcastle,27,DMC,30(5),2748,2,0.6,34.5,80.9,0.2,1.3,0.1,6.67
160,João Gomes,Wolves,23,M(C),32(2),2660,1,0.6,36.4,83.3,0.4,0.9,0.1,6.67
161,Mykhailo Mudryk,Chelsea,23,AM(L),18(13),1581,2,1,15.4,76.9,0.5,0.5,0.1,6.67
162,Raúl Jiménez,Fulham,33,FW,18(6),1404,-,0.5,15.5,69.7,0.1,0.5,0.1,6.67
163,Matty Cash,Aston Villa,27,"D(R),M(CLR)",23(6),2144,2,0.4,35.4,84,0.3,1.1,-,6.66
164,Nathan Collins,Brentford,23,D(CR),29(3),2650,1,0.3,45.9,81.5,-,2.2,-,6.66
165,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",18(8),1634,1,0.4,23,72.4,0.5,0.8,-,6.66
166,Dara O'Shea,Burnley,25,D(CR),32(1),2895,4,0.4,52.5,79.7,0.1,3.3,-,6.66
167,Pape Sarr,Tottenham,22,M(C),27(7),2087,3,0.6,38.6,88.7,0.1,0.8,0.1,6.66
168,Josh Cullen,Burnley,28,DMC,23(2),2060,3,1,53.6,86.7,0.4,1.4,0.1,6.65
