Rank,Player,Team,Age,Position,Apps,Mins,xG,Goals,xGDiff,xG/90,Shots,xG/Shots,Rating
46,Jacob Murphy,Newcastle,29,"D(R),M(LR)",14(7),1194,2.51,3,0.49,0.19,30,0.08,6.99
47,Gabriel Magalhães,Arsenal,27,D(C),34(2),3044,4.59,4,-0.59,0.14,31,0.15,6.99
48,Pedro Neto,Wolves,24,"AM(CLR),FW",18(2),1521,3.32,2,-1.32,0.2,36,0.09,6.99
49,John McGinn,Aston Villa,30,M(CLR),35,3010,4.33,6,1.67,0.13,40,0.11,6.98
50,Dwight McNeil,Everton,25,M(CLR),33(2),2900,4.06,3,-1.06,0.13,57,0.07,6.97
51,Casemiro,Man Utd,32,"D(C),DMC",24(1),1987,3.64,1,-2.64,0.16,39,0.09,6.97
52,Leon Bailey,Aston Villa,27,"M(CLR),FW",22(13),2080,6.45,10,3.55,0.28,53,0.12,6.96
53,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",31(5),2767,5.03,8,2.97,0.16,57,0.09,6.96
54,Diogo Dalot,Man Utd,25,"D(LR),M(LR)",35(1),3174,1.53,2,0.47,0.04,30,0.05,6.96
55,Douglas Luiz,Aston Villa,26,M(C),35,3003,7.36,9,1.64,0.22,48,0.15,6.95
56,Willy-Arnaud Boly,Nottingham Forest,33,D(C),18(2),1443,1.79,2,0.21,0.11,14,0.13,6.94
57,Dan Burn,Newcastle,32,"D(CL),M(L)",32(1),2733,3.85,2,-1.85,0.13,23,0.17,6.94
58,João Pedro,Brighton,23,"AM(CL),FW",19(12),2046,12.32,9,-3.32,0.54,75,0.16,6.93
59,Ben White,Arsenal,27,"D(CR),DMC",35(2),2995,1.36,4,2.64,0.04,13,0.1,6.93
60,Antonee Robinson,Fulham,27,"D(L),M(L)",37,3269,1.03,-,-1.03,0.03,16,0.06,6.92
61,Jarrad Branthwaite,Everton,22,D(C),35,3117,2.19,3,0.81,0.06,14,0.16,6.90
62,Gabriel Jesus,Arsenal,27,"AM(LR),FW",17(10),1482,7.22,4,-3.22,0.44,55,0.13,6.89
63,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",24(11),2031,7.01,6,-1.01,0.31,58,0.12,6.89
64,Ryan Christie,Bournemouth,29,"M(CLR),FW",35(2),2922,2.37,-,-2.37,0.07,43,0.06,6.89
65,Darwin Núñez,Liverpool,25,"AM(CL),FW",22(14),2050,18,11,-7,0.79,108,0.17,6.89
66,Tomás Soucek,West Ham,29,M(C),34(3),2876,7.68,7,-0.68,0.24,43,0.18,6.88
67,Kaoru Mitoma,Brighton,27,M(L),15(4),1488,4.43,3,-1.43,0.27,34,0.13,6.88
68,Ethan Pinnock,Brentford,31,D(C),28(1),2521,2.93,2,-0.93,0.1,19,0.15,6.88
69,Jean-Philippe Mateta,Crystal Palace,27,FW,25(10),2285,11.09,16,4.91,0.44,46,0.24,6.88
70,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",25(8),2113,6.14,8,1.86,0.26,70,0.09,6.88
71,Joachim Andersen,Crystal Palace,28,D(C),38,3418,2.08,2,-0.08,0.05,21,0.1,6.88
72,Yoane Wissa,Brentford,28,"AM(L),FW",29(5),2509,11.48,12,0.52,0.41,67,0.17,6.87
73,Cody Gakpo,Liverpool,25,"AM(CLR),FW",17(18),1646,8.75,8,-0.75,0.48,66,0.13,6.87
74,Harry Maguire,Man Utd,31,D(C),18(4),1651,2.25,2,-0.25,0.12,20,0.11,6.87
75,Marcus Tavernier,Bournemouth,25,M(CLR),25(5),2134,4.4,3,-1.4,0.19,53,0.08,6.86
76,Simon Adingra,Brighton,22,"M(LR),FW",25(6),2233,4.68,6,1.32,0.19,52,0.09,6.86
77,Mario Lemina,Wolves,31,"D(C),M(C)",34(1),2976,4.52,4,-0.52,0.14,48,0.09,6.85
78,Moisés Caicedo,Chelsea,23,"D(R),DMC",33(2),2875,0.39,1,0.61,0.01,13,0.03,6.85
79,William Saliba,Arsenal,23,D(C),38,3420,2.24,2,-0.24,0.06,10,0.22,6.85
80,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,1.7,2,0.3,0.06,26,0.07,6.85
81,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,4.03,4,-0.03,0.14,48,0.08,6.85
82,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,0.42,-,-0.42,0.01,16,0.03,6.85
83,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,2.79,5,2.21,0.24,32,0.09,6.84
84,James Garner,Everton,23,M(CR),34(3),3006,2.42,1,-1.42,0.07,41,0.06,6.84
85,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,0.57,-,-0.57,0.03,11,0.05,6.84
86,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,10.01,11,0.99,0.6,62,0.16,6.83
87,Rúben Dias,Man City,27,D(C),28(2),2558,1.84,-,-1.84,0.06,20,0.09,6.83
88,Idrissa Gueye,Everton,35,M(C),24(1),1896,1.73,4,2.27,0.08,26,0.07,6.83
89,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,0.44,-,-0.44,0.01,12,0.04,6.83
90,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,1.8,2,0.2,0.06,26,0.07,6.83
91,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,8.92,12,3.08,0.49,60,0.15,6.82
92,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,7.19,6,-1.19,0.5,33,0.22,6.82
93,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,2.43,1,-1.43,0.09,34,0.07,6.82
94,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1.15,1,-0.15,0.06,11,0.1,6.82
95,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,1.15,-,-1.15,0.06,8,0.14,6.81
